"","only.in.PC",""
"1","Antigua & Barbuda","Antigua and Barbuda"
"2","Bonaire, Sint Eustatius and Saba","Ashmore and Cartier Islands"
"3","Bosnia-Herzegovina","Bosnia and Herzegovina"
"4","Brunei","Brunei Darussalam"
"5","Cape Verde","Czech Republic"
"6","Christmas Island","Dem. Rep. Korea"
"7","Cocos Islands","Democratic Republic of the Congo"
"8","Congo","eSwatini"
"9","Congo (Dem. Rep.)","Faeroe Islands"
"10","Czechia","Falkland Islands"
"11","Eswatini","Federated States of Micronesia"
"12","Falkland Islands (Malvinas)","French Southern and Antarctic Lands"
"13","Faroe Islands","Heard I. and McDonald Islands"
"14","French Guiana","Indian Ocean Territories"
"15","French Southern Territories","Lao PDR"
"16","Gambia","Macedonia"
"17","Gibraltar","Northern Cyprus"
"18","Guadeloupe","Pitcairn Islands"
"19","Korea (North)","Republic of Cabo Verde"
"20","Korea (South)","Republic of Korea"
"21","Laos","Republic of the Congo"
"22","Martinique","Russian Federation"
"23","Mayotte","Saint Helena"
"24","Micronesia","Saint Pierre and Miquelon"
"25","North Macedonia","Saint-Barthélemy"
"26","Pitcairn","Saint-Martin"
"27","Réunion","São Tomé and Principe"
"28","Russia","Siachen Glacier"
"29","S. Georgia and S. Sandwich Islands","Sint Maarten"
"30","Saint Barthélemy","Somaliland"
"31","Saint Helena, Ascension and Tristan da Cunha","South Georgia and the Islands"
"32","Saint Martin","The Gambia"
"33","Saint Pierre & Miquelon","United States"
"34","Sao Tome and Principe","United States Virgin Islands"
"35","Sint Maarten (Dutch part)","Wallis and Futuna Islands"
"36","Svalbard and Jan Mayen","NA"
"37","Tokelau","NA"
"38","Tuvalu","NA"
"39","U.S. Minor Outlying Islands","NA"
"40","U.S.A.","NA"
"41","Virgin Islands of the USA","NA"
"42","Wallis & Futuna","NA"
